<net.halfmobile.scanner.capture.a.b: android.hardware.Camera a(int)>	Permission:android.permission.CAMERA
<com.google.ads.a.c: public com.google.ads.a.c(com.google.ads.am,com.google.ads.g)>	Permission:android.permission.INTERNET
<com.google.android.gms.a.b: void a(android.content.Context,java.lang.String)>	Permission:android.permission.MANAGE_ACCOUNTS
<net.halfmobile.scanner.ui.fragments.ao: boolean onTouch(android.view.View,android.view.MotionEvent)>	Permission:android.permission.WAKE_LOCK
<net.halfmobile.scanner.sync.impl.drive.DriveSyncAdapterConfigActivity: com.google.a.b.a.a b(android.content.Context)>	Permission:android.permission.GET_ACCOUNTS
<com.google.a.a.b.b.a: com.google.a.a.b.ad a()>	Permission:android.permission.INTERNET
<com.google.ads.util.AdUtil: java.lang.String d(android.content.Context)>	Permission:android.permission.ACCESS_NETWORK_STATE
<com.google.ads.a.s: void run()>	Permission:android.permission.INTERNET
<com.google.ads.a.a: void b()>	Permission:android.permission.WAKE_LOCK
<com.google.ads.j: void run()>	Permission:android.permission.INTERNET
<com.google.ads.a.a: void d()>	Permission:android.permission.WAKE_LOCK
<com.google.android.apps.analytics.i: boolean b()>	Permission:android.permission.ACCESS_NETWORK_STATE
<com.google.ads.a.a: void c()>	Permission:android.permission.WAKE_LOCK
<com.google.ads.a.t: java.net.HttpURLConnection a(java.net.URL)>	Permission:android.permission.INTERNET
<com.google.ads.a.a: void a()>	Permission:android.permission.WAKE_LOCK
